	artist	song
308	Isham Jones with Ray Miller�s Orchestra 	I�ll See You in My Dreams
309	Blossom Seeley 	Alabamy Bound
310	Ted Lewis 	O! Katharina
311	Vernon Dalhart 	The Prisoner�s Song
312	Gene Austin 	Yearning Just for You
313	Ben Bernie 	Sweet Georgia Brown
314	Eddie Cantor 	If You Knew Susie
315	Fred Waring 	Collegiate
316	Gene Austin with Billy Carpenter 	Yes Sir! That�s My Baby
317	Ben Selvin 	Oh, How I Miss You Tonight
318	Isham Jones 	Remember
319	Ben Selvin 	Manhattan
320	John McCormack 	Moonlight and Roses Bring Mem�ries of You
321	George Olsen 	Who?
322	Cliff Edwards 	Dinah
323	Ben Bernie 	Sleepy Time Gal
324	Al Jolson 	I�m Sitting on Top of the World
325	George Olsen with Fran Frey, Bob Rice, & Edward Joyce 	Always
326	Vincent Lopez 	Always
327	Gene Austin 	Five Foot Two, Eyes of Blue
328	Gene Austin with Fran Frey 	Horses
329	�Whispering� Jack Smith 	Gimme a Lil� Kiss, Will Ya, Huh?
330	Paul Whiteman�s Orchestra with Franklyn Baur 	Valencia (A Song of Spain)
331	Al Jolson 	I�d Climb the Highest Mountain if I Knew I�d Find You
332	Gene Austin 	Bye Bye, Blackbird
333	Al Jolson 	When the Red, Red Robin Comes Bob-Bob-Bobbin� Along
334	Jan Garber with Benny Davis 	Baby Face
335	Johnny Marvin 	Breezin� Along with the Breeze
336	Johnny Hamp 	Black Bottom
337	Paul Whiteman�s Orchestra 	The Birth of the Blues
338	Henry Burr 	Because I Love You
339	Paul Whiteman�s Orchestra with Jack Fulton 	In a Little Spanish Town
340	Sophie Tucker with Ted Lewis 	Some of These Days
341	Ben Selvin 	Blue Skies
342	Gene Austin 	Tonight You Belong to Me
343	Paul Whiteman�s Orchestra 	It All Depends on You
344	Ben Bernie 	Ain�t She Sweet?
345	Nick Lucas 	I�m Looking Over a Four-Leaf Clover
346	George Olsen 	At Sundown (When Love Is Calling Me Home)
347	Roger Wolfe Kahn 	Russian Lullaby
348	Moran & Mack 	Two Black Crows � Parts 1 & 2 (The Early Bird Catches the Worm)
349	�Whispering� Jack Smith 	Me and My Shadow
350	Gene Austin 	Forgive Me
351	Guy Lombardo 	Charmaine!
352	Ben Selvin 	Miss Annabelle Lee (Who�s Wonderful, Who�s Marvelous)
353	Paul Whiteman�s Orchestra 	My Blue Heaven
354	Red Nichols 	Ida, Sweet As Apple Cider
355	Paul Whiteman�s Orchestra 	Just a Memory
356	Gene Austin 	My Blue Heaven
357	Paul Whiteman�s Orchestra 	Among My Souvenirs
358	Paul Whiteman�s Orchestra 	Together
359	Paul Whiteman�s Orchestra 	Ol� Man River
360	Gene Austin 	Ramona
361	Paul Whiteman�s Orchestra 	Ramona
362	Fred Waring�s Pennsylvanians 	Laugh, Clown, Laugh!
363	Paul Whiteman�s Orchestra 	My Angel (Angela Mia)
364	Vincent Lopez 	My Angel (Angela Mia)
365	Gene Austin 	Jeannine (I Dream of Lilac Time)
366	Cliff Edwards as Ukelele Ike 	I Can�t Give You Anything But Love
367	Al Jolson 	Sonny Boy
368	Al Jolson 	There�s a Rainbow Round My Shoulder
369	Ben Selvin with Jack Palmer 	You�re the Cream in My Coffee
370	Guy Lombardo with Carmen Lombardo 	Sweethearts on Parade
371	Gene Austin 	Carolina Moon
372	Ruth Etting 	I�ll Get by As Long As I Have You
373	George Olsen with Ethel Sutta 	A Precious Little Thing Called Love
374	Rudy Vallee 	Weary River
375	Rudy Vallee 	Honey
376	Leo Reisman 	The Wedding of the Painted Doll
377	Bob Haring with the Copley Plaza Orchestra 	Pagan Love Song
378	Cliff Edwards as Ukelele Ike 	Singin� in the Rain
379	Al Jolson 	Little Pal
380	Ethel Waters 	Am I Blue?
381	Nick Lucas 	Tip Toe Through the Tulips
382	Paul Whiteman�s Orchestra 	Great Day
383	Leo Reisman 	I�ll See You Again
384	Roy Ingrahma 	Chant of the Jungle
385	Paul Whiteman�s Orchestra with Bing Crosby, Al Rinker, Harry Barris, & Jack Fulton 	I�m a Dreamer, Aren�t We All?
386	Ted Weems with Art Jarrett & Parker Gibbs 	The Man from the South with a Big Cigar in His Mouth
387	Benny Meroff with Dusty Rhoades 	Happy Days Are Here Again
388	Ben Selvin 	Happy Days Are Here Again
389	Harry Richman 	Puttin� on the Ritz
390	Rudy Vallee 	Stein Song (University of Maine)
391	Leo Reisman 	What Is This Thing Called Love?
392	Ruth Etting 	Exactly Like You
393	Frank Luther with Carson Robison (as Bud & Joe Billings) 	When Your Hair Has Turned to Silver
394	Hilo Hawaiian Orchestra with Frank Luther & Carson Robison 	When It's Springtime in the Rockies
395	Ben Selvin 	When It's Springtime in the Rockies
396	Bert Lown 	Bye Bye Blues
397	Earl Burtnett 	So Beats My Heart for You
398	Nat Shilkret with Lewis James 	Dancing with Tears in My Eyes
399	Smith Ballew & His Orchestra 	Time on My Hands (You in My Arms)
400	Fred Waring with Clare Hanlon 	Little White Lies
401	George Olsen with Bob Borger 	Beyond the Blue Horizon
402	McKinney�s Cotton Pickers with George Thomas 	If I Could Be with You One Hour Tonight
403	John Boles with Leroy Shield 	For You
404	Paul Whiteman�s Orchestra with Jack Fulton 	Body and Soul
405	Duke Ellington with the Rhythm Boys (Bing Crosby, Al Rinker, & Harry Barris) 	Three Little Words
406	Tom Gerun & His Orchestra 	Cheerful Little Earful
407	Red Nichols with Dick Robertson 	Embraceable You
408	Guy Lombardo with Carmen Lombardo 	You�re Driving Me Crazy! (What Did I Do?)
409	Don Azpiazu with Arturo Machin 	The Peanut Vendor (El Manicero)
410	Libby Holman 	Something to Remember You By
411	Ted Lewis 	Just a Gigolo
412	Libby Holman 	Love for Sale
413	Leo Reisman with Frances Maddux 	Someday I�ll Find You
414	Guy Lombardo with Carmen Lombardo 	By the River St. Marie
415	Cab Calloway 	Minnie the Moocher (The Ho De Ho Song)
416	Gus Arnheim with Bing Crosby 	I Surrender Dear
417	Isham Jones 	Stardust
418	Wayne King with Ernie Burchill 	Dream a Little Dream of Me
419	Wayne King 	The Waltz You Saved for Me
420	Bing Crosby with Victor Young�s Orchestra 	Out of Nowhere
421	Guy Lombardo with Carmen Lombardo 	There Ought to Be a Moonlight Saving Time
422	Gene Austin with Leonard Joy�s Orchestra 	When Your Lover has Gone
423	Fred Waring with Clare Hanlon 	I Found a Million-Dollar Baby in a Five-and-Ten-Cent Store
424	Bing Crosby with Victor Young�s Orchestra 	Just One More Chance
425	Fred Waring�s Pennyslvanians 	Dancing in the Dark
